 Shift = (0.000000000000000E+000,0.000000000000000E+000)
 Eigenvalues = 
 (-0.182618809477174,-1.904907536294297E-002)
 (-0.112915953428381,-4.958977328033936E-002)
 (-0.100858449928200,-1.316644807876909E-002)
 (-9.404719481712405E-002,3.015260285166693E-002)
 (-7.108802873088259E-002,-1.705124179898167E-002)
 (-4.451751190521551E-002,-3.105189114425217E-004)
 (-2.672095103429601E-002,-1.933530265372447E-003)
 (-7.690670029414245E-003,-1.833218674000246E-003)
 (0.000000000000000E+000,0.000000000000000E+000)
 (0.000000000000000E+000,0.000000000000000E+000)
