 Shift = (0.000000000000000E+000,0.000000000000000E+000)
 Eigenvalues = 
 (-0.133327348047399,5.763797058335489E-003)
 (-0.117883845707834,1.010136043970592E-002)
 (-7.624321766448516E-002,-6.126677632107700E-003)
 (-5.286274503771037E-002,-1.979828971169992E-003)
 (-4.746406924599912E-002,-0.150502867574660)
 (-3.338586360395085E-002,-1.187599364294890E-002)
 (-9.765214338925233E-003,-5.488841415103758E-004)
 (0.000000000000000E+000,0.000000000000000E+000)
 (0.000000000000000E+000,0.000000000000000E+000)
 (5.562824733762527E-002,4.801448705649982E-002)
