 Shift = (0.000000000000000E+000,0.000000000000000E+000)
 Eigenvalues = 
 (-0.129506621769306,1.795524396331360E-003)
 (-0.112929246808826,3.430980148989224E-002)
 (-9.754115066857380E-002,-2.157580870794984E-002)
 (-5.993204108497564E-002,1.393790170511816E-003)
 (-5.373475928035978E-002,6.113455892733730E-002)
 (-4.825662343393938E-002,-5.610296446269208E-002)
 (-2.564574802640928E-002,-8.207658585898173E-003)
 (-8.060741634999091E-003,9.410039651728032E-004)
 (0.000000000000000E+000,0.000000000000000E+000)
 (0.000000000000000E+000,0.000000000000000E+000)
