 Error =   1.67766973042359     
 Eigenvalues = 
 (0.789419424363813,-2.154414576261917E-002)
 (0.695327202587743,-0.807775374508697)
 (0.850687215288498,0.738807961235065)
 (-0.161715167475778,0.922877669772807)
 (1.63538203131206,0.385683633504317)
 (-0.480706392750329,-1.19963413327441)
 (3.13826305616258,-0.865089579651483)
 (16.5633199329890,0.650945480381817)
 (-0.782158993513128,0.331560300593151)
 (-0.745269752651677,0.254089917269753)
 (-0.734241997212414,-0.325919971448920)
 (-0.863100788787624,-0.321811825416915)
 (-1.06625638455562,3.704628775151169E-002)
 (-1.78440169529881,-0.787384469231723)
 (-1.71481774110853,0.210391692344007)
