           1 (2.674799558141204E-002,3.684580884082359E-002)
           2 (-0.201970141328391,1.181458961552373E-002)
           3 (-4.160723620682927E-002,-5.731643563806058E-002)
           4 (-1.001955177206789E-002,-2.285561803809912E-003)
           5 (-2.380218926117243E-002,-3.098156468269902E-003)
           6 (-5.893112446495690E-002,-9.301871071889738E-004)
           7 (-0.112417101982141,-4.243521197016601E-003)
           8 (-0.135823267062861,5.158318772260652E-004)
           9 (6.277204664944880E-004,-3.262051430418825E-004)
 (0.000000000000000E+000,0.000000000000000E+000)
          10 (3.349506688696741E-004,4.708590068474273E-003)
 (0.000000000000000E+000,0.000000000000000E+000)
