 Error =  0.648055519242997     
 Eigenvalues = 
 (-0.497004626066403,0.434460453364644)
 (-0.420913116775392,-0.195258770767155)
 (-0.687340237446359,2.861448816702674E-003)
 (-0.588802142382467,-1.776697036942038E-003)
 (-0.358454696701795,0.116846017714593)
 (-0.484244415225467,-4.798906824348496E-011)
 (-0.393781333905242,-6.276448941606608E-002)
 (-0.372458380177153,-4.807896212308262E-002)
 (-0.343429222560707,2.505062602226454E-002)
 (-0.370600477656193,4.215356411377127E-002)
 (-0.351624090522225,-1.657334584021985E-004)
 (-0.373779040543506,-4.433351933227582E-005)
 (-0.409884368902973,4.546722842838712E-009)
 (-0.406097074278183,1.084144249759273E-007)
 (-0.403553208803954,-5.447355295007375E-009)
