 Error =   2.53453754479468     
 Eigenvalues = 
 (0.832301617443938,0.487578890529580)
 (-0.756809753153849,-3.193675748744657E-002)
 (0.976175223919338,-0.494208860725981)
 (1.19008267087592,-4.963676444364148E-002)
 (-0.798700009820387,0.203432291535992)
 (-1.18010300895216,-1.687231604079003E-002)
 (0.868258434708896,2.47597665177241)
 (3.36851233429042,-3.952987395501300E-003)
 (0.441400570232370,-2.78064336624618)
 (-1.02339069037320,-2.16168808213067)
 (-1.82906261902518,-1.04810839635109)
 (-1.44328913372436,0.990543177501843)
 (-14.9349353007205,-55.7710195914216)
 (-4.67312200201737,-3.53452014221692)
 (-1.52512074410085,1.97537491889467)
