 Error =  7.464316717960218E-003
 Eigenvalues = 
 (-0.612456133673228,-3.625632358021854E-002)
 (-0.612593220592250,3.646292046799684E-002)
 (-0.628826725978973,9.581375699501769E-003)
 (-0.628513591453864,-9.801591528596923E-003)
 (-0.808485517904464,1.019208396070911E-010)
 (-0.930551379478316,9.388219353164276E-008)
 (0.675022746618424,2.776013048788460E-002)
 (0.667138057603520,-8.833225278732931E-005)
 (0.675057814802253,-2.690950026183185E-002)
 (0.704701090844231,2.535119919907366E-005)
 (0.901386794893441,-5.821901245223979E-009)
 (0.984055483248869,1.885780842761805E-006)
 (0.969533273611086,-7.361918163117570E-006)
 (0.957747616529783,3.802091971708421E-005)
 (0.945775025316313,-9.805662691847085E-006)
