 Error =   3.21724116649064     
 Eigenvalues = 
 (4.198307176217652E-002,0.234556452930347)
 (0.727135059193637,1.401911331430631E-002)
 (0.777222752886351,-0.148831804133305)
 (0.896201994549148,1.971124796236846E-003)
 (1.18434524958171,-0.102013216998120)
 (4.80093461625793,-0.191623591600703)
 (-0.729479856226531,0.820448681763788)
 (-3.28170554237864,-1.76651004377962)
 (-0.559284298889500,-2.755052612062469E-002)
 (-0.882919732452818,-0.517660684110949)
 (-0.792291235725104,-0.280787409171652)
 (-0.744361040486288,0.216177256314569)
 (-0.791502951625507,4.522187460652382E-002)
 (-0.931771678819565,5.065718446241972E-002)
 (-0.816933184743690,-3.265377771137305E-002)
