 Error =  0.592311637404228     
 Eigenvalues = 
 (0.716754484335959,-5.201058458977548E-003)
 (0.847477585080286,-7.752348495320207E-003)
 (0.950277582558050,2.338032196490203E-002)
 (-2.417495689521730E-002,1.07030845418229)
 (-2.785050897297641E-002,-1.23398866246886)
 (2.72738750570343,-1.60983950688600)
 (-5.04284291122101,11.3090888640135)
 (-1.78083933017655,-3.73788635317001)
 (-0.685732134850099,0.253125223182243)
 (-0.727459308179056,-0.422217495910566)
 (-0.796093369158578,-0.343469215377449)
 (-0.759110407608721,0.128542580724256)
 (-1.00490659415686,0.142000693559779)
 (-0.773618102626713,-4.318703237997142E-002)
 (-0.885583589981163,5.458013906931913E-003)
