 Error =  0.202257471260043     
 Eigenvalues = 
 (-0.404354655142726,1.913779155042163E-005)
 (-0.409062565717439,-2.044259326488228E-005)
 (-0.457217706518469,3.128474250438954E-005)
 (-0.494008194151773,2.078705690949095E-007)
 (-0.565711632762000,-4.685042091095065E-002)
 (-0.627592041170464,2.141160812823044E-007)
 (-0.613034223471575,-2.187314262243850E-008)
 (-0.565670568324561,4.684529633275906E-002)
 (-0.584658450707881,-2.395964497177628E-007)
 (-0.562679608868606,-1.783382744775304E-002)
 (-0.562661345909797,1.783947472365400E-002)
 (-0.551496835298689,6.822262159489274E-005)
 (-0.567797642653016,2.611388408474474E-006)
 (-0.561686164940681,-3.305776568948960E-003)
 (-0.561674668210081,3.287100534491623E-003)
